case_id,title,date,status,amount,detail,link,link_detail
A5131,大三男罹血癌　單親母嘆夫已癌逝「老天殘忍」,2021/05/07,未結案,18365,明細,https://tw.appledaily.com/headline/20210507/VRXKZCX76BDTNK7YYWHPMUDQXM/,https://tw.feature.appledaily.com/charity/projdetail/A5131
A5130,婦咬牙作工兼顧癌夫　「為小孩苦往肚裡吞」,2021/05/06,未結案,122899,明細,https://tw.appledaily.com/headline/20210506/UHMO2CREXZH4JBNO6PZIPM4YPQ/,https://tw.feature.appledaily.com/charity/projdetail/A5130
A5129,粗工翁腦出血中風倒　「為3歲女努力再站起」,2021/05/05,未結案,201968,明細,https://tw.appledaily.com/headline/20210505/NEFEGENQE5BTBFFBARTOJSBZGU/,https://tw.feature.appledaily.com/charity/projdetail/A5129
A5128,勇婦抗癌忍治療苦　「全為爭取時間陪2子」,2021/05/04,未結案,282653,明細,https://tw.appledaily.com/headline/20210504/REJ7KLNAVNFFBJ2UHW2DSEUM2A/,https://tw.feature.appledaily.com/charity/projdetail/A5128
A5127,父口腔癌末　國三女拼會考當護理師顧爸爸,2021/05/03,未結案,498089,明細,https://tw.appledaily.com/headline/20210503/TCO63Y6L5BHRHCZU6WBZZ7BV24/,https://tw.feature.appledaily.com/charity/projdetail/A5127
A5126,癌男憂失去平凡幸福　夜半背對妻子偷拭淚,2021/04/29,未結案,654573,明細,https://tw.appledaily.com/headline/20210429/DUJNB3L2H5C6XOYUJF5L7A626M/,https://tw.feature.appledaily.com/charity/projdetail/A5126
A5125,38歲男腦幹中風癱　妻喚「好爸爸我們不會放棄你」,2021/04/28,未結案,784644,明細,https://tw.appledaily.com/headline/20210428/AKWMMMRGL5APPF6ASKPFZIYQNM/,https://tw.feature.appledaily.com/charity/projdetail/A5125
A5124,夫癌末子未成年　婦揮汗綁鐵扛重擔,2021/04/27,未結案,809855,明細,https://tw.appledaily.com/headline/20210427/5HBVJDCUONHT7AWAL2ZQIK3TUU/,https://tw.feature.appledaily.com/charity/projdetail/A5124
A5123,廚師癌轉移切腎換肩　難再持鍋鏟憂4口,2021/04/26,未結案,731524,明細,https://tw.appledaily.com/headline/20210426/VIT3FOGRNVCLFKZYTRMCYINVVM/,https://tw.feature.appledaily.com/charity/projdetail/A5123
A5122,42歲粗工壯男驚癌末　「5個孩子怎麼辦」,2021/04/23,未結案,1003135,明細,https://tw.appledaily.com/headline/20210423/MHJCDP3ACVBXPCGVXRNVY3NW5I/,https://tw.feature.appledaily.com/charity/projdetail/A5122
A5121,男肺癌轉腦失聰　憂「沒時間能陪兒女了」,2021/04/22,未結案,901540,明細,https://tw.appledaily.com/headline/20210422/ECXSBEGDRRBETCMSFFD75W42IU/,https://tw.feature.appledaily.com/charity/projdetail/A5121
A5120,大三女工讀扛顧單親中風父　「爸只有我了」,2021/04/21,未結案,1125468,明細,https://tw.appledaily.com/headline/20210421/CGKKHGA5B5DAVD33WZPC2JA4B4/,https://tw.feature.appledaily.com/charity/projdetail/A5120
A5119,夫妻離鄉來台生根　未料癌魔重擊「家怎麼辦」,2021/04/20,未結案,698849,明細,https://tw.appledaily.com/headline/20210420/7GJDKUT64ZEXNOUH2VOSYYCFIE/,https://tw.feature.appledaily.com/charity/projdetail/A5119
A5118,寡母撐顧重傷單親兒　為4孫自勉「要加油」,2021/04/19,未結案,1114086,明細,https://tw.appledaily.com/headline/20210419/6ELUVDRPZJGM7AOXOBYSNLIAYA/,https://tw.feature.appledaily.com/charity/projdetail/A5118
A5117,腦傷子罹癌　七旬父撐病體做清潔零工撿回收,2021/04/16,未結案,1297162,明細,https://tw.appledaily.com/headline/20210416/MMUY2BEHSBFHRCGWCFMLXGIAHA/,https://tw.feature.appledaily.com/charity/projdetail/A5117
A5116,扛家夫突休克癱瘓　妻喚快甦醒「家能完整」,2021/04/15,未結案,971122,明細,https://tw.appledaily.com/headline/20210415/EGFAATQEQVE4HOYXURNNQ6N4MQ/,https://tw.feature.appledaily.com/charity/projdetail/A5116
A5115,婦顧癌夫小六子　堅強撐做手工難養家,2021/04/14,未結案,973111,明細,https://tw.appledaily.com/headline/20210414/2ZBAKNCNEBAH5IHKEKIRXJBU3E/,https://tw.feature.appledaily.com/charity/projdetail/A5115
A5114,單親爸育子顧癱兄　未料中風復健難上工,2021/04/13,未結案,1132097,明細,https://tw.appledaily.com/headline/20210413/MXYD3EWWXFEB7NUM7SZKHA74NA/,https://tw.feature.appledaily.com/charity/projdetail/A5114
A5113,男脊傷又發現罹癌　撐家妻「不怕苦只要他好好活」,2021/04/12,未結案,964883,明細,https://tw.appledaily.com/headline/20210412/KRKKLI3QIRACZMPAKUVDQMJJHE/,https://tw.feature.appledaily.com/charity/projdetail/A5113
A5112,妻癌逝男努力兼工養老小　未料車禍腦傷家垮,2021/04/09,未結案,1265782,明細,https://tw.appledaily.com/headline/20210409/SSTEJBIL6NHR3A26VOBNRSGWQI/,https://tw.feature.appledaily.com/charity/projdetail/A5112
A5111,扛家兄中風癱　重度乾癬弟嘆難撐3口,2021/04/08,已結案,1055576,明細,https://tw.appledaily.com/headline/20210408/TEWO6JOYMNHAXK5OFN63YYNFQY/,https://tw.feature.appledaily.com/charity/projdetail/A5111
A5110,單親媽相依憨女雙雙倒下　「會努力熬下去」,2021/04/07,已結案,1434262,明細,https://tw.appledaily.com/headline/20210407/VZ47CPOLZBC2VBEXBX4EELRQ3U/,https://tw.feature.appledaily.com/charity/projdetail/A5110
A5109,29歲女臉變圓竟罹頜下腺癌　「不捨單親爸」,2021/04/06,已結案,1975376,明細,https://tw.appledaily.com/headline/20210406/PPM4EPPXMRFCZOQMNBTE75NEJI/,https://tw.feature.appledaily.com/charity/projdetail/A5109
A5108,小二童助中風父復健　「不怕累只要爸爸快好」,2021/04/01,已結案,1644955,明細,https://tw.appledaily.com/headline/20210401/PF4CBP63SVD4FM6G2MDXWW45J4/,https://tw.feature.appledaily.com/charity/projdetail/A5108
A5107,單親媽驚罹癌　懂事小六女慰「我會陪妳」,2021/03/31,已結案,1915453,明細,https://tw.appledaily.com/headline/20210331/FM3T3MB2EFCSPP4UXPNLQYF5VY/,https://tw.feature.appledaily.com/charity/projdetail/A5107
A5106,老母忍行走不適陪癌兒就醫　「孩子就是孩子」,2021/03/30,已結案,1129332,明細,https://tw.appledaily.com/headline/20210330/MF6N7LKFBJDUDOFFRN7R7VM4T4/,https://tw.feature.appledaily.com/charity/projdetail/A5106
A5105,務農夫妻雙雙病倒　大三養女休學一肩扛,2021/03/29,已結案,2085874,明細,https://tw.appledaily.com/headline/20210329/Z5LPIZ24YNDNDNUTOIZCCQW32Y/,https://tw.feature.appledaily.com/charity/projdetail/A5105
A5104,單親癌父憾長女已逝　憂病況「能陪次女多久」,2021/03/26,已結案,1211972,明細,https://tw.appledaily.com/headline/20210326/IRCFJSVIX5HODJECM2LBVG4D2Y/,https://tw.feature.appledaily.com/charity/projdetail/A5104
A5103,撐家新住民婦罹癌　謝鬱夫照料「不悔來台」,2021/03/25,已結案,1056869,明細,https://tw.appledaily.com/headline/20210325/DFVC4RHXGZF3LM4JKGT2VXVIZQ/,https://tw.feature.appledaily.com/charity/projdetail/A5103
A5102,單親母勇抗癌　「不能讓7歲兒沒了媽」,2021/03/24,已結案,1558994,明細,https://tw.appledaily.com/headline/20210324/RAPHILBQRNHZFKOLAK3EU554PE/,https://tw.feature.appledaily.com/charity/projdetail/A5102
A5101,男憂妻中風癱2兒幼　「平安是唯一祈求」,2021/03/22,已結案,1718274,明細,https://tw.appledaily.com/headline/20210322/32MGAP7RURAAHMEAWAEIYA7P6Q/,https://tw.feature.appledaily.com/charity/projdetail/A5101
A5100,單親精障母罹癌　國二子憂成孤單一人,2021/03/19,已結案,1615285,明細,https://tw.appledaily.com/headline/20210319/SMPD4RUFXRBCLM2K6PCCYNWURI/,https://tw.feature.appledaily.com/charity/projdetail/A5100
A5099,男癌病復發謝妻不離棄　憂心成為負擔,2021/03/18,已結案,1052068,明細,https://tw.appledaily.com/headline/20210318/UPJ264JPQZACBDUQROLEDQR6JI/,https://tw.feature.appledaily.com/charity/projdetail/A5099
A5098,病夫突癱　認命婦做工扛家「只怕苦了孩子」,2021/03/17,已結案,1165435,明細,https://tw.appledaily.com/headline/20210317/GRBIKMCRHRF6NG2SQ6MRCFIGOE/,https://tw.feature.appledaily.com/charity/projdetail/A5098
A5097,男為家計延遲就醫　「見家人憂傷比罹癌更苦」,2021/03/15,已結案,1035973,明細,https://tw.appledaily.com/headline/20210315/DPYMUQQUP5G45ITHO3C6PEIDXI/,https://tw.feature.appledaily.com/charity/projdetail/A5097
A5096,小六女相依癌父　居陋屋「雖窮但我們很好」,2021/03/12,已結案,1653813,明細,https://tw.appledaily.com/headline/20210312/ZR43YWKFCBA5FCU4I6VRHSL2HQ/,https://tw.feature.appledaily.com/charity/projdetail/A5096
A5095,壯年癌男憂妻難撐家　「任務未完很心酸」,2021/03/11,已結案,946790,明細,https://tw.appledaily.com/headline/20210311/QSYGLHQ5VJG4NJUNAVRTZSE6EI/,https://tw.feature.appledaily.com/charity/projdetail/A5095
A5094,癌翁病嬤傷心單親子逝　「求老天讓我養大孫」,2021/03/10,已結案,1359286,明細,https://tw.appledaily.com/headline/20210310/2FQ4ZHGQJBFORMXKHIHZI7RPTU/,https://tw.feature.appledaily.com/charity/projdetail/A5094
A5093,扛家男癌細胞侵噬脊椎　憂4口家垮,2021/03/08,已結案,1180898,明細,https://tw.appledaily.com/headline/20210308/4VXEA5GKMBHZ5JWVGIODBEGKLU/,https://tw.feature.appledaily.com/charity/projdetail/A5093
A5092,女腦瘤術後中風　夫育2幼子未料脊傷倒,2021/03/05,已結案,1515987,明細,https://tw.appledaily.com/headline/20210305/YWROXAZZ4VD4VCAQXX3S5JMKFM/,https://tw.feature.appledaily.com/charity/projdetail/A5092
A5091,罹癌單親父心疼子棄學撐家　「我只剩兒子」,2021/03/04,已結案,1168939,明細,https://tw.appledaily.com/headline/20210304/N7UGS7H745BOHGIFIFAGBL4TCU/,https://tw.feature.appledaily.com/charity/projdetail/A5091
A5090,離婚夫妻先後罹癌中風　為兒女互相再扶持,2021/03/03,已結案,1010911,明細,https://tw.appledaily.com/headline/20210303/IOEGULN7U5BNLICD23J5XXM2X4/,https://tw.feature.appledaily.com/charity/projdetail/A5090
A5089,重症肌無力男苦顧精障母  「只剩我能扛」,2021/03/02,已結案,1403507,明細,https://tw.appledaily.com/headline/20210302/G55XINYDCRHFJOHW6HDPA6EMLY/,https://tw.feature.appledaily.com/charity/projdetail/A5089
A5088,護專兒顧單親癌父　無奈爸爸是第一個病人,2021/02/26,已結案,1001377,明細,https://tw.appledaily.com/headline/20210226/G7NWGTYDF5CIXOX74243KHVJRA/,https://tw.feature.appledaily.com/charity/projdetail/A5088
A5087,癌男內疚妻撐4口病弱　「沒有她我無法到現在」,2021/02/25,已結案,1153992,明細,https://tw.appledaily.com/headline/20210225/ACBYKJ2DVRGKDGR7CCLPT6JQGM/,https://tw.feature.appledaily.com/charity/projdetail/A5087
A5085,不菸壯男乾咳驚罹肺腺癌末　「只想好好陪幼女」,2021/02/23,已結案,973368,明細,https://tw.appledaily.com/headline/20210223/H4LMIYMA6ZBKPHLWF7L234ER3I/,https://tw.feature.appledaily.com/charity/projdetail/A5085
A5084,單親爸苦養3兒　高三子撞傷從軍撐家夢碎,2021/02/22,已結案,1279502,明細,https://tw.appledaily.com/headline/20210222/NFI6TXQVANFHZN7AMUE5ENUFIM/,https://tw.feature.appledaily.com/charity/projdetail/A5084
A5083,癌男憂6口老病幼　撐家妻打氣「會守護家」,2021/02/19,已結案,1337339,明細,https://tw.appledaily.com/headline/20210219/FZ7EQF5R6JAVFJ4CBBOOIEEKDA/,https://tw.feature.appledaily.com/charity/projdetail/A5083
A5082,男顧中風妻盼復健成功　「國三女不中輟」,2021/02/18,已結案,1039903,明細,https://tw.appledaily.com/headline/20210218/NOSA234Z7FFVVKJATHABZSR334/,https://tw.feature.appledaily.com/charity/projdetail/A5082
A5081,「不怕治療痛苦」　癌男求生就怕病妻弱子失依,2021/02/17,已結案,1097170,明細,https://tw.appledaily.com/headline/20210217/75LZZZCD6JH5FPE4X2DO2GBQ4Y/,https://tw.feature.appledaily.com/charity/projdetail/A5081
A5080,癌男拼撐家復發　曾罹癌鬱妻咬牙「換我扛」,2021/02/09,已結案,1338466,明細,https://tw.appledaily.com/headline/20210209/JQL4T2ORRFG4HCF73L3IVHMI2A/,https://tw.feature.appledaily.com/charity/projdetail/A5080
A5079,夫重病待換心　妻扛顧再打2份工勇撐5口,2021/02/08,已結案,1279868,明細,https://tw.appledaily.com/headline/20210208/D4UNF3XVEJBFZCSBFXJPOQTEPY/,https://tw.feature.appledaily.com/charity/projdetail/A5079
A5078,婦為4子女勇抗癌　盼牛年健康與家人團聚,2021/02/05,已結案,1306624,明細,https://tw.appledaily.com/headline/20210205/MOKL2XOY6NFLJAQWE3PWKR5IIY/,https://tw.feature.appledaily.com/charity/projdetail/A5078
A5077,單親爸病重憂離世　「放不下相依高一女」,2021/02/04,已結案,1243893,明細,https://tw.appledaily.com/headline/20210204/3HDRNV6PGVBOJJT5J4BVY6N7IU/,https://tw.feature.appledaily.com/charity/projdetail/A5077
