ad_creation_time,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,currency,funding_entity,page_id,page_name,spend_lower,spend_upper,adlib_id,impressions_lower,impressions_upper,potential_reach_lower,potential_reach_upper,ad_snapshot_url
2021-05-05,"#828公投
#我們都不能缺席

昨日在新竹市黨部召開828公投任務推動說明會，江啟臣主席、楊文科縣長、立法委員林為洲、鄭正鈐委員、呂學樟粉絲專頁中常委、及黨團議員同仁，和小組長、志工們共同宣示全力推動828公投，讓人民展現力量，用選票證明真正的民意！不讓執政者繼續獨斷專行！

#國民黨新竹市長初選候選人
＃林耕仁關心您
我代表議員們致詞時，也跟與會的先進報告，828的公投結果影響非常大，涵蓋能源、生態、食安及人民複決權行使，就食安而言，如果沒過就代表未來要永遠接受萊豬進口，危害全民的健康！因此，在828公投日我們絕對要站出來投下神聖一票。
公投計有 「重啟核四」、「反萊豬」、「公投綁大選」、「珍愛藻礁」等議題，新竹市再增加地方公投議題「我們要喝乾淨水」。

請留言、轉傳分享，或點讚👍
加入阿仁粉絲專頁，感謝🙏您

👇🏻歡迎追蹤👇🏻
林耕仁IG：
https://www.instagram.com/linkenjeng.tw
林耕仁YT：
https://www.youtube.com/channel/UCBFJqPGh-b0UW9FC3l8mQsQ",NA,NA,NA,2021-05-05,NA,TWD,耕仁 林,191290960914397,林耕仁,200,299,470719717341763,2000,2999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=470719717341763&access_token={access_token}
2021-05-04,"說一句玩笑話，民進黨在捍衛民主！

#朕不給你的你不能要

民進黨一遇到問題，哪怕是長期追求的價值目標都會轉變，如2013年黑道入黨事件所制定的2年黑道條款，因吳怡農要參選台北市黨部主委，而變動了；現今面臨巨大民意反彈的公投，就丟棄長期主張打破鳥籠公投的信念，提案修法納入諸多限制，導致以後公投要成案難如登天，民進黨要給你過，才會過！

#民進黨要沒收你我公投權利

在蘇巧慧、林昶佐、王美惠主提案的「公民投票法部分條文修正草案」，有三大嚴苛限制：

1、無論提案或連署都要貼附身分證影本。在現今個人資料保護意識抬頭的時代，要民眾拿出身分證本身就很困難，還要多付出影印成本，本身就是擾民與干預提案連署作為。要修法倒不如推動電子化提案與聯署，方便民眾才是政府施政的優先考量！

2、在公投「提案」階段，只要戶政機關刪除人數超過提案人的十分之一者，該提案就逕予駁回。簡單來說，依據現行規定，提案人只要1932人就可成案，修法過了只要有200人故意亂填寫資料就讓提案被封殺。

3、在公投「連署」階段，只要戶政機關刪除人數超過三萬人或連署人數十分之一以上者，主管機關應為公民投票案不成立之公告。依據現行規定只要28萬9667人連署就可成案，但哪怕連署100萬份，只要被刷掉10萬份連署，剩餘的90萬份連署全部沒用！

#按照這標準很多公投案連成案都不行

在提案階段，「反萊豬公投」不符合率12%、「公投綁大選」不符合率12%、連綠營以前推動過的「東奧正名」不符合率13%，全部連成案都機會都沒有，哪怕提案人數量比最低標1932人還有多更多也不行！

在連署階段，依據中選會可以提供資料，「重啟核四」不合率18%、「東奧正名」不符合率16.8都超過刪除連署人10%規定，甚至以往通過的「反核食公投」不合連署規定人數17多萬人、「反深澳電廠公投」17多萬人、「反空汙公投」18多萬人，都已超過刪除3萬人規定，全部都會被封殺。

#若尚有追求民主的理念請自己復議

目前這部法案已經一讀交付委員會審查中，但復議期尚未通過，請提案委員們想一想，為了公投奮鬥許久的民主前輩們會看見你們設下諸多限制，將原本回歸民眾的自由的鳥抓回關到更嚴苛的鳥籠中嗎？問問自我價值信仰，自行復議後撤案吧！",NA,NA,NA,2021-05-05,NA,TWD,為洲 林,300320033502806,立法委員林為洲,100,199,278727173976656,1000,1999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=278727173976656&access_token={access_token}
2021-05-04,"希望大家都能支持藻礁三接再外推方案！

最近對於大潭藻礁公投，行政院昨日推出三接外推替代方案。今(4)日就有多個環保團體、人士站出來支持。
　
如果公投的結果是三接不能建，或不能在觀塘建，遷移方案都至少需要11年，這11年就是變成北部電力的空窗期。

2年半靠調度，11年則會對能源轉型、供電穩定、減煤減碳，以及目前持續成長的經濟發展，帶來非常大的傷害。

正因為這樣，經濟部提出三接外推方案，希望透過藻礁保護更大化，影響供電最小化的模式，讓更多人支持三接方案，既能保護藻礁，也支持台灣的供電穩定，希望大家在藻礁公投上，投下 #不同意！

沒有人喜歡很糟的空氣，現在這個供電廠是為了減碳而且非核，執政黨很努力，行政院、經濟部也不斷在討論如何找出最佳的解決方案。

現在三接再外推方案提出了，也有許多環團支持這個方案，我們更要支持這件事！

請大家分享給你身邊的親朋好友們，讓他們都知道大潭電廠與執政黨提出的解決方式，讓我們一起在公投時投下 「不同意」！
　
更多三接外推方案QA ：https://www.economic-news.tw/2021/05/LNG-Receiving-Terminal.html

#大潭藻礁公投 #不同意 #分享",NA,NA,NA,2021-05-04,2021-05-05,TWD,盈智 黃,333506003865522,世代接力 黃盈智,100,199,3831233966926473,0,999,100001,500000,https://www.facebook.com/ads/archive/render_ad/?id=3831233966926473&access_token={access_token}
2021-05-03,"經濟和環保並非只能兩者擇一，是有機會可以相互並存的，為了落實 #能源轉型 同時也避免影響大潭藻礁， 蔡英文 Tsai Ing-wen 政府規劃出對環境衝擊更小的新三接方案，除了較馬政府時期縮小九成的開發面積，同時新規劃也將把工業港再外推455公尺，以減少對潮間帶藻礁的破壞。

經濟成長、保障民生都有賴於穩定的供電，而要穩定供電三接是必不可少的，#再外推方案 是政府在吸納各界意見後，以最大誠意、盡最大努力所研討出最可行的方案，政府未來也將廣辦座談會、透過各種管道向民眾報告，希望藉由提供更全面的資訊，讓民眾能在828公投中做出對台灣最好的選擇。

#工業港再外推455公尺
#不浚挖也不破壞礁體
#原21公頃外海填區不填
#延後2年半供氣發電",NA,NA,NA,2021-05-04,2021-05-05,TWD,吳秉叡,154631861234059,吳秉叡,500,599,758304861512750,6000,6999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=758304861512750&access_token={access_token}
2021-05-03,"說一句玩笑話，民進黨在捍衛民主！

#朕不給你的你不能要

民進黨一遇到問題，哪怕是長期追求的價值目標都會轉變，如2013年黑道入黨事件所制定的2年黑道條款，因吳怡農要參選台北市黨部主委，而變動了；現今面臨巨大民意反彈的公投，就丟棄長期主張打破鳥籠公投的信念，提案修法納入諸多限制，導致以後公投要成案難如登天，民進黨要給你過，才會過！

#民進黨要沒收你我公投權利

在蘇巧慧、林昶佐、王美惠主提案的「公民投票法部分條文修正草案」，有三大嚴苛限制：

1、無論提案或連署都要貼附身分證影本。在現今個人資料保護意識抬頭的時代，要民眾拿出身分證本身就很困難，還要多付出影印成本，本身就是擾民與干預提案連署作為。要修法倒不如推動電子化提案與聯署，方便民眾才是政府施政的優先考量！

2、在公投「提案」階段，只要戶政機關刪除人數超過提案人的十分之一者，該提案就逕予駁回。簡單來說，依據現行規定，提案人只要1932人就可成案，修法過了只要有200人故意亂填寫資料就讓提案被封殺。

3、在公投「連署」階段，只要戶政機關刪除人數超過三萬人或連署人數十分之一以上者，主管機關應為公民投票案不成立之公告。依據現行規定只要28萬9667人連署就可成案，但哪怕連署100萬份，只要被刷掉10萬份連署，剩餘的90萬份連署全部沒用！

#按照這標準很多公投案連成案都不行

在提案階段，「反萊豬公投」不符合率12%、「公投綁大選」不符合率12%、連綠營以前推動過的「東奧正名」不符合率13%，全部連成案都機會都沒有，哪怕提案人數量比最低標1932人還有多更多也不行！

在連署階段，依據中選會可以提供資料，「重啟核四」不合率18%、「東奧正名」不符合率16.8都超過刪除連署人10%規定，甚至以往通過的「反核食公投」不合連署規定人數17多萬人、「反深澳電廠公投」17多萬人、「反空汙公投」18多萬人，都已超過刪除3萬人規定，全部都會被封殺。

#若尚有追求民主的理念請自己復議

目前這部法案已經一讀交付委員會審查中，但復議期尚未通過，請提案委員們想一想，為了公投奮鬥許久的民主前輩們會看見你們設下諸多限制，將原本回歸民眾的自由的鳥抓回關到更嚴苛的鳥籠中嗎？問問自我價值信仰，自行復議後撤案吧！",NA,NA,NA,2021-05-04,2021-05-05,TWD,為洲 林,300320033502806,立法委員林為洲,200,299,520299855634751,2000,2999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=520299855634751&access_token={access_token}
2021-05-03,"有力出力　有錢出錢　
讓水質管理的漏洞被補起來

乾淨水的每一個行動都有你我的參與，2021年邀請您繼續參與及贊助我們的行動！捐款頁面：https://neti.cc/ZwjzM4E 
公益勸募字號：衛部救字第1091364802號，
戶名：社團法人台灣乾淨水行動聯盟，
銀行：新竹建中郵局（700），帳號：0061248-0177596
----
2021年感謝你的贊助，捐款名單公布如下：
1月份 潘O玫1,200元 
2月份 鄭O育1,000元、南Ｏ遠1,000元、彭Ｏ枝1,000元；
          活動捐款（彭Ｏ枝300元、楊Ｏ蓉100元、簡Ｏ王王200元）
3月份 活動捐款（吳Ｏ聰100元）、＊主婦聯盟合作社150,000元
4月份 林O芬2,021元、張Ｏ樺1,000元、賴Ｏ如3,000元；
           定期定額（張Ｏ倪200元/月、黃Ｏ文1,000元/月）；
            活動捐款（廖Ｏ淇100元）
4月份 吳O軒10,000元

＊主婦聯盟捐款係為支持水公民科學發展及調查使用，再次感謝，相關調查報告及手冊，敬請期待。
-----
＃0828公投文宣感謝設計師林心昀贊助設計，歡迎轉發。
#828新竹市民領取地方公投選票
#0608前新竹縣民連署第一階段喝好水公投提案連結如下，
https://reurl.cc/V37KjR
#我們要喝乾淨水",NA,NA,NA,2021-05-04,NA,TWD,桂枝 彭,251191018747500,我們要喝乾淨水,100,199,949402835824087,1000,1999,100001,500000,https://www.facebook.com/ads/archive/render_ad/?id=949402835824087&access_token={access_token}
2021-05-03,"#轉自黃土條臉書
#三萬筆或十分之一錯誤資料就不能公投
#連署團體如何查證
#林昶佐不演了？

  立法院席次過半的民主黑金黨，現在連人民公投的權力都要剝奪？ #請問連署團體要如何查證假資料？ 執政黨只要偷偷填三萬筆或十分之一的錯誤資料，人民連署就不能成案？

  擔心的原因是，民主黑金黨在立法院很有可能壓倒性通過此案，這個法案將變相的「沒收」台灣人民公投權力，提案的立委和連署的立委們，還敢自詡民主國家嗎？

  全國性公投議題，最低都需要三十幾萬份，一般公民團體要如何查證資料正確性？偽造情勢與公投成案有何關聯？

#查證資料真偽不是中選會職責嗎
#假資料要處罰誰

有心人填假資料卻要懲罰公投不能成案？ 

#為什麼公投連署只能紙本
#修法還要求國民身分證影本

  公投連署、罷免連署都只能紙本，都21世紀了，台灣的公務機關還是如此落後，為什麼不能線上連署？ 浪費一大堆紙，只能填超小的格子，而且紙本連署還要身分證影本的話，個資爭議不是更嚴重？ 線上傳身分證照片給中選會相對安全🔐，雖然中選會資安感覺也不是很健全，但資安問題本來就是政府該解決的😏，難不倒萬能的唐鳳吧？

  最後想要請問林昶佐 Freddy Lim，這就是所謂的民主黑金黨嗎？ 我覺得你們跟國民黨沒什麼兩樣🤔🤔🤔歐，差點忘了，你還沒領 #黨證，焦糖哥哥有揪你嗎？",NA,NA,NA,2021-05-03,2021-05-05,TWD,昭印 林,108696210715338,林昭印,300,399,285627186380990,3000,3999,500001,1000000,https://www.facebook.com/ads/archive/render_ad/?id=285627186380990&access_token={access_token}
2021-05-03,"盡最大努力，推出 #三接外推方案
影響供電最小化，藻礁保護更大化，追求雙贏價值
　
懇請大家，藻礁公投投下 #不同意
　
前陣子參與藻礁公投連署的朋友，很多都是期待政府再用更大力量，同時兼顧供電，也保護藻礁生態。因此，我們更進一步，再提出外推方案，希望追求供電穩定、生態保護兩種價值的平衡跟雙贏。
　
#潮間帶藻礁已保護_海下礁體再避開
　
原本已把開發範圍從涵蓋大潭藻礁的232公頃，調整為避開藻礁的23公頃。之前大家對於海裡的礁體頗有爭議，現在，我們再外推455公尺，#不浚挖、不破壞礁體；原來的港區 #不填地、#防波提變短，海域更開放；工業港離岸達到1.2公里，對沿岸也影響更小。
　
而以下的問題，答案都在圖裡，也拜託大家把這些資訊跟政府的努力，一起分享出去。
　
▶為什麼要外推？
▶怎麼外推？
▶生態上的好處是什麼？
▶林口港、台北港、直接改用FSRU為什麼不可行？
▶會不會影響供電穩定？
▶會不會多燒煤？
▶未來如何保護藻礁生態？",NA,NA,NA,2021-05-03,2021-05-05,TWD,經濟部,335544036485779,經濟部,2000,2499,432045974433665,45000,49999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=432045974433665&access_token={access_token}
2021-04-28,"民眾黨要揪人討論立場！！！

#民眾黨 #台灣基進 #公投 #二二八",fountmedia.io,民眾黨今（28）發出「戰帖」，更加碼邀請台灣基進就4大公投立場也進行討論。對此，台灣基進表示，「欣然接受，絕對沒有問題，無論是228或公投議題，台灣基進都會以最萬全的準備，讓社會大眾再一次清楚看見民眾黨的本質...,民眾黨突揪「討論」228、公投案　台灣基進反批「搏聲量」…將以萬全準備，讓大眾清楚看見民眾黨的本質,2021-04-29,2021-05-01,TWD,放言 Fount Media,1847777185521418,放言 Fount Media,200,299,734502360517440,3000,3999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=734502360517440&access_token={access_token}
2021-04-28,"【核四公投：夏日大作戰—校園巡迴。講座展開】｜全國廢核行動平台活動
你知道，今年夏天8月28日，台灣有四件公投案嗎？其中有兩件公投案與能源相關，還有一個公投案是「核四重啟公投」嗎？快來申請講座👉 https://bit.ly/32SoCS8

#核四是什麼能吃嗎
對絕大多數的學生來說，1980年代開始規劃興建、1999年動工，2014年封存的核四，已是相當遙遠的名詞。因此，可能有許多人會感到疑惑：究竟為什麼在2021年的今日，環保團體們還要持續堅持反核、不斷提倡廢除核四呢？

事實上，台灣面對的不僅是重啟核四，同時也面氣候危機、減碳減煤、產業轉型等重大挑戰，處在非常關鍵的十字路口。全國廢核行動平台發起「核四公投，夏日大作戰：校園巡迴講座展開」的行動，走進校園面對面解答大家對於核四公投、能源轉型的各種疑問。

#你是不是常聽到
⭐「到底為什麼環保團體要反核？」
⭐「核四現在到底是怎樣，蓋好不用是擺著養蚊子？？？」
⭐「不要用核電的話，電要從哪裡來？難不成要用愛發電？」
⭐「我反核啊，但我不太敢跟別人討論這題，啊我就怕被罵啊······」
⭐「核電什麼的我還好，我比較在意空污這題啦！」
⭐「先別提核電了，你聽過氣候危機嗎？」

#這個夏日即將決戰
回顧過去40年，從威權到民主時期，核電爭議貫穿了台灣政治、經濟與社會的轉型，簡直是台灣環境運動史上的「無限之戰」。2021年的這個夏天，不論你是支持或反對，台灣社會都要正面迎戰核四議題，如此我們才能夠繼續面對轉型道路上其他同樣重要、艱鉅的挑戰。

對於核四爭議，你可能極為陌生，需要更多資訊，也可能你已早有立場，期待進一步的對話、辯論或是行動；或者，相較於核電議題，你更想要深入了解台灣能源轉型的路徑與挑戰，或是當前緊迫的氣候變遷危機。不論如何，都歡迎各位響應全國廢核行動平台的「核四公投，夏日大作戰：校園巡迴講座展開」，向我們申請到學校或校園附近的公共空間舉辦講座。

立刻申請，講座展開👉 https://bit.ly/32SoCS8

——
講座主題可包括：
⚡轟轟烈烈爭議40年的核四，這一路來發生什麼事？
⚡核電真的是世界趨勢嗎？其實國際產業的現況是…
⚡台灣的能源轉型到底要轉哪裡去？
⚡氣候危機超緊急，台灣如何全面應戰？
⚡八月兩個能源公投，到底要投什麼？是在吵什麼？",NA,NA,NA,2021-04-28,NA,TWD,地球公民基金會,148513668543221,地球公民基金會,800,899,296621688623100,30000,34999,100001,500000,https://www.facebook.com/ads/archive/render_ad/?id=296621688623100&access_token={access_token}
