board,date,n_article,n_comment,n_author,text,who,n_article_label
Elephants,2019-11-11,74,1425,11,NA,NA,NA
Elephants,2019-11-18,20,843,15,NA,NA,NA
Elephants,2019-11-25,35,1916,19,NA,NA,NA
Elephants,2019-12-02,21,1684,16,NA,NA,NA
Elephants,2019-12-09,21,1533,15,NA,NA,NA
Elephants,2019-12-16,41,1755,17,NA,NA,NA
Elephants,2019-12-23,26,1230,13,NA,NA,NA
Elephants,2019-12-30,33,1930,10,NA,NA,NA
Elephants,2020-01-06,39,1973,21,NA,NA,NA
Elephants,2020-01-13,39,942,16,NA,NA,NA
Elephants,2020-01-20,25,594,11,NA,NA,NA
Elephants,2020-01-27,30,1063,9,NA,NA,NA
Elephants,2020-02-03,24,1115,16,NA,NA,NA
Elephants,2020-02-10,34,1806,17,NA,NA,NA
Elephants,2020-02-17,32,2748,19,NA,NA,NA
Elephants,2020-02-24,54,3730,20,熱身賽開始,喵爪吱邦,54
Elephants,2020-03-02,306,3884,19,NA,NA,NA
Elephants,2020-03-09,187,1783,13,NA,NA,NA
Elephants,2020-03-16,114,2478,22,NA,NA,NA
Elephants,2020-03-23,24,1913,16,NA,NA,NA
Elephants,2020-03-30,38,1679,16,NA,NA,NA
Elephants,2020-04-06,156,8164,30,NA,NA,NA
Elephants,2020-04-13,485,25779,50,開幕戰,喵爪吱邦,485
Elephants,2020-04-20,440,26451,41,NA,NA,NA
Elephants,2020-04-27,560,34097,59,,吱,NA
Elephants,2020-04-27,560,34097,59,,爪,NA
Elephants,2020-04-27,560,34097,59,,喵,NA
Elephants,2020-05-04,493,36000,56,NA,NA,NA
Elephants,2020-05-11,453,26702,57,,吱,NA
Elephants,2020-05-11,453,26702,57,,邦,NA
Elephants,2020-05-18,63,5265,39,NA,NA,NA
Elephants,2020-05-25,348,16371,42,NA,NA,NA
Elephants,2020-06-01,431,23926,41,NA,NA,NA
Elephants,2020-06-08,458,34055,54,,爪吱,NA
Elephants,2020-06-08,458,34055,54,,喵,NA
Elephants,2020-06-15,486,30864,66,,邦,NA
Elephants,2020-06-15,486,30864,66,,爪,NA
Elephants,2020-06-22,383,22248,60,,爪吱,NA
Elephants,2020-06-29,617,49594,87,,爪吱,NA
Elephants,2020-07-06,580,65289,129,爪爪上半季封王,喵爪吱邦,580
Elephants,2020-07-13,336,28926,94,NA,NA,NA
Elephants,2020-07-20,393,28952,73,NA,NA,NA
Elephants,2020-07-27,530,37723,76,NA,NA,NA
Elephants,2020-08-03,486,36451,58,NA,NA,NA
Elephants,2020-08-10,340,24494,50,NA,NA,NA
Elephants,2020-08-17,477,36976,77,,喵,NA
Elephants,2020-08-24,366,28823,51,NA,NA,NA
Elephants,2020-08-31,455,26189,51,,喵邦,NA
Elephants,2020-08-31,455,26189,51,,爪吱,NA
Elephants,2020-09-07,458,29952,62,,爪吱,NA
Elephants,2020-09-14,541,38491,81,NA,NA,NA
Elephants,2020-09-21,375,30458,83,,邦,NA
Elephants,2020-09-28,502,37403,71,NA,NA,NA
Elephants,2020-10-05,464,26921,59,,吱,NA
Elephants,2020-10-12,447,28452,49,NA,NA,NA
Elephants,2020-10-19,225,19737,62,NA,NA,NA
Elephants,2020-10-26,451,44372,162,NA,NA,NA
Elephants,2020-11-02,919,103974,300,總冠軍賽喵喵封王,喵爪吱邦,919
Elephants,2020-11-09,275,19823,179,NA,NA,NA
Elephants,2020-11-16,58,4500,34,NA,NA,NA
Elephants,2020-11-23,89,8580,66,NA,NA,NA
Elephants,2020-11-30,59,5678,46,NA,NA,NA
Elephants,2020-12-07,50,3344,29,NA,NA,NA
Elephants,2020-12-14,20,1346,18,NA,NA,NA
Elephants,2020-12-21,63,4591,30,NA,NA,NA
Elephants,2020-12-28,15,1408,11,NA,NA,NA
Monkeys,2019-11-11,14,583,9,NA,NA,NA
Monkeys,2019-11-18,59,825,12,NA,NA,NA
Monkeys,2019-11-25,115,574,12,NA,NA,NA
Monkeys,2019-12-02,98,1859,16,NA,NA,NA
Monkeys,2019-12-09,108,1363,14,NA,NA,NA
Monkeys,2019-12-16,54,2105,20,NA,NA,NA
Monkeys,2019-12-23,24,694,11,NA,NA,NA
Monkeys,2019-12-30,44,2300,15,NA,NA,NA
Monkeys,2020-01-06,38,642,14,NA,NA,NA
Monkeys,2020-01-13,24,270,8,NA,NA,NA
Monkeys,2020-01-20,30,453,20,NA,NA,NA
Monkeys,2020-01-27,17,263,7,NA,NA,NA
Monkeys,2020-02-03,24,931,16,NA,NA,NA
Monkeys,2020-02-10,28,721,19,NA,NA,NA
Monkeys,2020-02-17,32,1069,19,NA,NA,NA
Monkeys,2020-02-24,199,853,18,熱身賽開始,喵爪吱邦,199
