board,name,rank,n
Elephants,李振昌,1,4938
Elephants,許基宏,2,3691
Elephants,吳東融,3,3660
Elephants,林智勝,4,3527
Elephants,張志豪,5,3519
Elephants,陳子豪,6,3441
Elephants,丘昌榮,7,3287
Elephants,周思齊,8,3254
Elephants,陳文杰,9,2801
Elephants,王威晨,10,2400
Monkeys,曾豪駒,1,1569
Monkeys,陳禹勳,2,993
Monkeys,林泓育,3,752
Monkeys,林立,4,747
Monkeys,廖健富,5,687
Monkeys,林承飛,6,652
Monkeys,陳晨威,7,644
Monkeys,梁家榮,8,612
Monkeys,朱育賢,9,552
Monkeys,林智平,10,499
Guardians,羅力,1,1783
Guardians,索沙,2,1454
Guardians,張進德,3,1282
Guardians,洪一中,4,1143
Guardians,林益全,5,1063
Guardians,高國輝,6,1015
Guardians,吳俊良,7,925
Guardians,陳仕朋,8,835
Guardians,李宗賢,9,784
Guardians,伍鐸,10,744
Lions,陳傑憲,1,3022
Lions,林安可,2,2417
Lions,林岳平,3,2281
Lions,蘇智傑,4,2272
Lions,蘇泰安,5,2252
Lions,高國慶,6,2172
Lions,林子豪,7,1789
Lions,陳鏞基,8,1746
Lions,林靖凱,9,1605
Lions,郭阜林,10,1484
