state,votes_gop,votes_dem,total_votes,votes_gop_per,votes_dem_per,state_abbv,votes_gop_per_2016,votes_dem_per_2016
Alabama,1441168,849648,2323304,0.6203096968799606,0.36570676932506463,AL,0.6288841357640034,0.3455375295031915
Alaska,189892,153405,391346,0.48522790574070007,0.39199327449367055,AK,0.5288700180057424,0.37715947248041265
Arizona,1661686,1672143,3387326,0.4905598103046474,0.49364690614366613,AZ,0.4950305651029421,0.4538711757263151
Arkansas,760647,423932,1219069,0.6239572985614432,0.34775061953014963,AR,0.6114873062334535,0.3416235573215228
California,6005961,11109764,17495906,0.3432780788831399,0.6349922090345022,CA,0.3275978878592562,0.615885457947953
Colorado,1364607,1804352,3256953,0.4189827117554352,0.5540000116673468,CO,0.4435931884789904,0.4727463112060947
Connecticut,715291,1080680,1824280,0.3920949634924463,0.5923871335540597,CT,0.411609924473774,0.5447546167576817
Delaware,200603,296268,504010,0.39801392829507354,0.5878216702049562,DE,0.419226108915488,0.5335500016986195
District of Columbia,18586,317323,344356,0.05397321376714795,0.9214969392140692,DC,0.04122067134783353,0.928465918821716
Florida,5668731,5297045,11067456,0.5121981962250404,0.47861450725442234,FL,0.4906399978693371,0.47788052307774254
Georgia,2461854,2473633,4997716,0.49259581776955713,0.4949526943907977,GA,0.5133614951890577,0.45595503632651074
Hawaii,196864,366130,574469,0.3426886394217965,0.6373363923901899,HI,0.3003906022270157,0.622228181659185
Idaho,554118,287021,868105,0.6383075780003571,0.33062935935169135,ID,0.5916569195115041,0.27559917760648617
Illinois,2446891,3471915,6038850,0.40519155137153595,0.5749298293549269,IL,0.39413260939139755,0.5540273301725999
Indiana,1729852,1242495,3033198,0.5703063235568532,0.40963201215350925,IN,0.5717132330331528,0.37911168470284484
Iowa,897672,759061,1690871,0.5308932496920227,0.44891715571442176,IA,0.5178127916623457,0.42180208441356426
Kansas,758100,558669,1349567,0.5617357270887625,0.413961663259401,KS,0.5718633160817789,0.3615835166147551
Kentucky,1326646,772474,2136768,0.6208657186929044,0.3615151481115404,KY,0.6258093514887489,0.327139793717466
Louisiana,1255776,856034,2148062,0.5846088241400853,0.39851456801526214,LA,0.5809468810212005,0.38443708756240347
Maine,359899,430473,813740,0.4422776316759653,0.5290055791776243,ME,0.45153799474074574,0.478555727867305
Maryland,976414,1985023,3037030,0.32150291567748757,0.6536066486007711,MD,0.35305347290388567,0.6053445019949139
Massachusetts,1167202,2382202,3631402,0.3214191103050557,0.6560006300596849,MA,0.33515661771463745,0.6079991186839921
Michigan,2649852,2804040,5539302,0.4783729069113762,0.5062081829082437,MI,0.4758598406108893,0.47343608749640204
Minnesota,1484065,1717077,3277171,0.4528494240916937,0.5239509930974001,MN,0.4536034788047198,0.468616830864311
Mississippi,756764,539398,1315178,0.5754080436260339,0.41013307704356367,MS,0.58337453471105,0.3972537956142244
Missouri,1718736,1253014,3025962,0.5679965577888949,0.4140878173618836,MO,0.5714223425623167,0.38012675588393635
Montana,343602,244786,605750,0.5672340074288073,0.4041040033016921,MT,0.56686256912075506,0.3608982286061699
Nebraska,556846,374583,956379,0.5822440685125876,0.391667947539626,NE,0.6030239387913678,0.3399268654159809
Nevada,669890,703486,1405376,0.4766624732455941,0.5005678195728402,NV,0.4553192815608331,0.47885822669836775
New Hampshire,365654,424921,804430,0.45455042701042975,0.5282261974317218,NH,0.47267798778762443,0.47641250873142477
New Jersey,1883274,2608335,4564234,0.41261556703709756,0.5714726720847354,NJ,0.4178388323143014,0.550153705155497
New Mexico,401894,501614,923965,0.43496669246129455,0.5428928584957222,NM,0.40335092520114874,0.4861586945667816
New York,3250230,5244006,8616205,0.37722291890687376,0.6086213129794381,NY,0.374752259204462,0.5881026230543522
North Carolina,2758773,2684292,5524801,0.4993434152650928,0.48586220571564476,NC,0.5053715640512707,0.46702398610986007
North Dakota,235595,114902,361819,0.6511404873707572,0.31756762359080093,ND,0.6414051185869282,0.2775515775978728
Ohio,3154834,2679165,5922202,0.5327130010087464,0.45239338340705026,OH,0.5205217641132723,0.4350852847535253
Oklahoma,1020280,503890,1560699,0.6537327184806295,0.32286174335986634,OK,0.6532718241060304,0.28929827656548057
Oregon,958448,1340383,2374321,0.4036724604634335,0.5645331865404888,OR,0.4105475305143552,0.5167775735040018
Pennsylvania,3378263,3459923,6925255,0.487817849306632,0.4996094728641761,PA,0.4879210707613783,0.4764914598683072
Rhode Island,199837,306210,516383,0.386993762381798,0.5929900868154064,RI,0.3986061525678651,0.5551884937605666
South Carolina,1385103,1091541,2513329,0.5511029395674024,0.43430088142061785,SC,0.5486407886227694,0.4075278587479443
South Dakota,261043,150471,422609,0.6176938967225024,0.3560525213613529,SD,0.6153299445746081,0.31737049618021496
Tennessee,1852475,1143711,3053851,0.6066029416628381,0.37451434271023704,TN,0.6107004854929647,0.34898102017514454
Texas,5890347,5259126,11317911,0.5204447181109659,0.4646728534974343,TX,0.5258300997715775,0.4344280625125446
Utah,865140,560282,1488289,0.5812983902991959,0.37646048583306063,UT,0.45899059552853577,0.2783756042141941
Vermont,112704,242820,367428,0.3067376465593259,0.6608641693066397,VT,0.326179683130128,0.6114311990199476
Virginia,1962430,2413568,4460524,0.4399550366728214,0.5410951717780242,VA,0.45026057360264693,0.49855687714299907
Washington,1584651,2369612,4087631,0.3876697774334327,0.5797030113530306,WA,0.3817248614070188,0.5444745028807191
West Virginia,545382,235984,794652,0.6863155192461606,0.29696521244519614,WV,0.6865012015938415,0.26468528407598707
Wisconsin,1610065,1630673,3297352,0.488290300823206,0.4945401643500603,WI,0.4778815834537944,0.4700952498973556
Wyoming,193559,73491,276765,0.6993622748541181,0.26553574332014523,WY,0.7005170015518087,0.22492783687515577
